Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
RCL,D/B/A Royal Caribbean Cruises Ltd. Common Stock,United States,1993,Consumer Discretionary,Hotels/Resorts,12856171579,2022-06-09
REGN,Regeneron Pharmaceuticals Inc. Common Stock,United States,1991,Health Care,Biotechnology: Pharmaceutical Preparations,65294774637,2022-06-09
RH,RH Common Stock,United States,2012,Consumer Discretionary,Other Specialty Stores,7235787234,2022-06-09
RIO,Rio Tinto Plc Common Stock,Australia,2002,Basic Materials,Metal Mining,121553705150,2022-06-09
RIVN,Rivian Automotive Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Auto Manufacturing,26227151030,2022-06-09
ROK,Rockwell Automation Inc. Common Stock,United States,NULL,Industrials,Industrial Machinery/Components,25177605166,2022-06-09
ROKU,Roku Inc. Class A Common Stock,United States,2017,Telecommunications,Cable & Other Pay Television Services,12712065659,2022-06-09
ROP,Roper Technologies Inc. Common Stock,United States,1992,Industrials,Office Equipment/Supplies/Services,43896029428,2022-06-09
ROST,Ross Stores Inc. Common Stock,United States,1985,Consumer Discretionary,Clothing/Shoe/Accessory Stores,28111387200,2022-06-09
RRC,Range Resources Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,9647952664,2022-06-09
RSG,Republic Services Inc. Common Stock,United States,1998,Utilities,Environmental Services,41328290356,2022-06-09
RTX,Raytheon Technologies Corporation Common Stock,United States,NULL,Industrials,Military/Government/Technical,147219423343,2022-06-09
RUN,Sunrun Inc. Common Stock,United States,2015,Industrials,Building Products,5785090854,2022-06-09
SAIL,SailPoint Technologies Holdings Inc. Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software,6004800863,2022-06-09
SAP,SAP  SE ADS,Germany,NULL,Technology,EDP Services,115740324841,2022-06-09
SBAC,SBA Communications Corporation Class A Common Stock,United States,1999,Real Estate,Real Estate Investment Trusts,36878613733,2022-06-09
SBLK,Star Bulk Carriers Corp. Common Shares,Greece,NULL,Consumer Discretionary,Marine Transportation,2800872287,2022-06-09
SBNY,Signature Bank Common Stock,United States,2004,Finance,Major Banks,13679925746,2022-06-09
SBUX,Starbucks Corporation Common Stock,United States,1992,Consumer Discretionary,Beverages - Non-Alcoholic,91715643270,2022-06-09
SCHW,Charles Schwab Corporation (The) Common Stock,United States,NULL,Finance,Investment Bankers/Brokers/Service,123888610895,2022-06-09
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,United States,2017,Technology,Computer Software: Prepackaged Software,46624250680,2022-06-09
SEDG,SolarEdge Technologies Inc. Common Stock,Israel,2015,Technology,Semiconductors,16534627723,2022-06-09
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),Netherlands,NULL,Energy,Oil & Gas Production,223746698788,2022-06-09
SHOP,Shopify Inc. Class A Subordinate Voting Shares,Canada,2015,NULL,NULL,47557931292,2022-06-09
SHW,Sherwin-Williams Company (The) Common Stock,United States,NULL,Consumer Discretionary,Paints/Coatings,69845255661,2022-06-09
SIG,Signet Jewelers Limited Common Shares,Bermuda,NULL,Consumer Discretionary,Consumer Specialties,3237272037,2022-06-09
SIVB,SVB Financial Group Common Stock,United States,NULL,Finance,Major Banks,28223254158,2022-06-09
SJM,J.M. Smucker Company (The) New Common Stock,United States,NULL,Consumer Staples,Packaged Foods,14072476622,2022-06-09
SLB,Schlumberger N.V. Common Stock,France,NULL,Energy,Oilfield Services/Equipment,68877940155,2022-06-09
SNAP,Snap Inc. Class A Common Stock,United States,2017,Technology,Internet and Information Services,23677612679,2022-06-09
SNOW,Snowflake Inc. Class A Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software,42941909500,2022-06-09
SNPS,Synopsys Inc. Common Stock,United States,1992,Technology,EDP Services,49421628047,2022-06-09
SNY,Sanofi ADS,France,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,130534751227,2022-06-09
SO,Southern Company (The) Common Stock,United States,NULL,Utilities,Electric Utilities: Central,79126212547,2022-06-09
SOFI,SoFi Technologies Inc. Common Stock,United States,NULL,Finance,Diversified Financial Services,5008812490,2022-06-09
SPG,Simon Property Group Inc. Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,34828322905,2022-06-09
SPGI,S&P Global Inc. Common Stock,United States,NULL,Finance,Advertising,116057155500,2022-06-09
SPLK,Splunk Inc. Common Stock,United States,2012,Technology,Computer Software: Prepackaged Software,16670849000,2022-06-09
SPOT,Spotify Technology S.A. Ordinary Shares,Luxembourg,2018,Consumer Discretionary,Broadcasting,22050800610,2022-06-09
SQ,Block Inc. Class A Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software,45186834443,2022-06-09
SQM,Sociedad Quimica y Minera S.A. Common Stock,Chile,1993,Industrials,Agricultural Chemicals,27964004842,2022-06-09
SRE,DBA Sempra Common Stock,United States,NULL,Utilities,Oil/Gas Transmission,49568998968,2022-06-09
STLD,Steel Dynamics Inc.,United States,1996,Industrials,Steel/Iron Ore,14744237225,2022-06-09
STM,STMicroelectronics N.V. Common Stock,Switzerland,NULL,Technology,Semiconductors,34566726298,2022-06-09
